21,"Dr. ABDUL RACHMAN THAHA, S.H., M.H."
22,"ADHI KUSUMA WAHAB, S.S."
23,"AGUSSALIM, S.H."
24,"AHMAD SYAIFULLAH MALONDA, S.P."
25,"ANDI VIVALDY, S.Pd., M.Si."
26,"ARIF, S.T."
27,"HERI SUGIANTO, S.H."
28,"I GEDE YOGANTARA TEGUH EKOWIJAYA, S.I.Kom."
29,"LUKKY SEMEN, S.E."
30,"Drs. MA'MUN AMIR"
31,"MAZIRU L. MASRI"
32,"MUH AMIN SANDILANA"
33,"Dr. MUHAMMAD J. WARTABONE, S.H., M.Hi."
34,"H. MUSDAR M. AMIN, S.E., M.Si."
35,"Drs. NURSALAM, M.M."
36,"SAHRUM B. SIHIRA"
37,"Dr. SHALEH MUHAMAD ALDJUFRI, Lc, M.A."
38,"SYAHRUDIN, S.H."
39,"SYAMSIDI MARKUS, S.Sos., M.A."
40,"Drs. USMAN SAMUDIN"
41,"Dr. H. YUNAN LAMPASIO, S.E,. M.Si."
